location,EW,EW_start_date,cases,p_rt1,p_inc100k,alert,Rt,transmission,epidemic_threshold
A,201549,2015-12-06,622,1.0,5.0465584,3,1.4738528,1,1
A,201550,2015-12-13,553,0.90600944,4.486731,3,1.0841106,0,1
A,201551,2015-12-20,532,0.17995867,4.3163486,2,0.94616157,0,1
A,201552,2015-12-27,468,0.0030914103,3.7970889,2,0.84247947,0,1
A,201601,2016-01-03,252,0.0,2.0445862,2,0.49521157,0,1
A,201602,2016-01-10,209,0.0,1.6957084,2,0.49717036,0,1
A,201603,2016-01-17,194,2.356896e-07,1.5740069,1,0.63382137,0,1
A,201604,2016-01-24,195,0.046644762,1.5821203,1,0.84957486,0,1
A,201605,2016-01-31,247,0.97812104,2.004019,1,1.2093699,1,1
A,201606,2016-02-07,204,0.4221674,1.6551412,2,0.98085713,0,1
A,201607,2016-02-14,307,0.9998713,2.4908254,2,1.3760941,1,1
A,201608,2016-02-21,287,0.9740191,2.3285565,3,1.1842486,1,1
A,201609,2016-02-28,425,1.0,3.448211,3,1.5262772,1,1
A,201610,2016-03-06,460,0.9999986,3.7321813,3,1.3999206,1,1
A,201611,2016-03-13,342,0.050267663,2.7747955,3,0.8853677,0,1
A,201612,2016-03-20,324,0.0015812778,2.6287537,2,0.80301034,0,1
A,201613,2016-03-27,259,1.1482251e-05,2.1013803,2,0.71078384,0,1
A,201614,2016-04-03,262,0.012778237,2.1257207,2,0.8302027,0,1
A,201615,2016-04-10,203,0.00037291925,1.6470279,2,0.73380053,0,1
A,201616,2016-04-17,220,0.1033519,1.7849562,2,0.8897433,0,1
A,201617,2016-04-24,203,0.15400285,1.6470279,1,0.90608263,0,1
A,201618,2016-05-01,184,0.084709615,1.4928725,1,0.8708859,0,1
A,201619,2016-05-08,104,3.560747e-08,0.8437975,1,0.52922714,0,0
A,201620,2016-05-15,116,0.0012158067,0.9411588,1,0.69558346,0,0
A,201621,2016-05-22,120,0.21490581,0.9736125,1,0.90550417,0,1
A,201622,2016-05-29,110,0.31422156,0.8924781,1,0.9379143,0,0
A,201623,2016-06-05,107,0.30001816,0.86813784,1,0.93210846,0,0
A,201624,2016-06-12,95,0.13638996,0.77077657,1,0.858261,0,0
A,201625,2016-06-19,44,5.8849474e-07,0.35699126,1,0.43275726,0,0
A,201626,2016-06-26,89,0.5979598,0.72209597,1,1.0381576,0,0
A,201627,2016-07-03,216,1.0,1.7525026,1,2.6993625,1,1
A,201628,2016-07-10,195,0.9999979,1.5821203,3,1.7020944,1,1
A,201629,2016-07-17,118,0.0029478038,0.95738566,3,0.7191909,0,1
A,201630,2016-07-24,153,0.14699368,1.2413559,1,0.89012665,0,1
A,201631,2016-07-31,171,0.8475134,1.3873978,1,1.1207532,0,1
A,201632,2016-08-07,169,0.8349412,1.371171,1,1.1148516,0,1
A,201633,2016-08-14,172,0.69493115,1.3955113,1,1.0572622,0,1
A,201634,2016-08-21,157,0.2759796,1.2738097,1,0.9361745,0,1
A,201635,2016-08-28,158,0.32898575,1.2819232,1,0.95204973,0,1
A,201636,2016-09-04,188,0.91343296,1.5253263,1,1.1566558,0,1
A,201637,2016-09-11,192,0.907404,1.55778,1,1.1501304,0,1
A,201638,2016-09-18,186,0.64322543,1.5090994,1,1.0391355,0,1
A,201639,2016-09-25,158,0.07299385,1.2819232,1,0.8546353,0,1
A,201640,2016-10-02,142,0.023456248,1.1521081,1,0.8003087,0,1
A,201641,2016-10-09,223,0.99823284,1.8092966,1,1.3461299,1,1
A,201642,2016-10-16,262,0.99998873,2.1257207,3,1.5065705,1,1
A,201643,2016-10-23,260,0.98938304,2.1094937,3,1.2372773,1,1
A,201644,2016-10-30,302,0.99162084,2.4502583,3,1.2271826,1,1
A,201645,2016-11-06,326,0.9885817,2.6449807,3,1.2052279,1,1
A,201646,2016-11-13,307,0.70212156,2.4908254,3,1.0442041,0,1
A,201647,2016-11-20,323,0.69627446,2.6206403,1,1.0416557,0,1
A,201648,2016-11-27,378,0.9892827,3.0668793,1,1.190867,1,1
A,201649,2016-12-04,340,0.6221514,2.7585688,1,1.0242819,0,1
A,201650,2016-12-11,289,0.013114228,2.3447835,2,0.83794594,0,1
A,201651,2016-12-18,332,0.47212002,2.6936612,2,0.99459684,0,1
A,201652,2016-12-25,659,1.0,5.3467555,2,1.9650505,1,1
A,201701,2017-01-01,161,0.0,1.3062634,2,0.4121806,0,1
A,201702,2017-01-08,93,0.0,0.7545497,2,0.22998342,0,0
A,201703,2017-01-15,83,0.0,0.6734153,2,0.30749303,0,0
A,201704,2017-01-22,88,0.0004112624,0.7139825,2,0.6377537,0,0
A,201705,2017-01-29,73,0.06400518,0.5922809,2,0.7891188,0,0
A,201706,2017-02-05,60,0.032232683,0.48680624,2,0.732447,0,0
A,201707,2017-02-12,63,0.18905388,0.51114655,2,0.8600468,0,0
A,201708,2017-02-19,65,0.48298785,0.52737343,2,0.99258304,0,0
A,201709,2017-02-26,76,0.849269,0.61662126,2,1.1907446,0,0
A,201710,2017-03-05,63,0.3774512,0.51114655,2,0.94677764,0,0
A,201711,2017-03-12,77,0.7432386,0.6247347,2,1.1139013,0,0
A,201712,2017-03-19,62,0.26134953,0.5030331,1,0.89467275,0,0
A,201713,2017-03-26,86,0.9005896,0.69775563,1,1.2284306,0,0
A,201714,2017-04-02,372,1.0,3.0181987,1,4.2269206,1,1
A,201715,2017-04-09,360,1.0,2.9208374,3,2.2057762,1,1
A,201716,2017-04-16,369,0.9997705,2.9938583,3,1.3181143,1,1
A,201717,2017-04-23,236,6.1850046e-06,1.9147713,3,0.6929157,0,1
A,201718,2017-04-30,219,3.1978084e-06,1.7768428,1,0.6765054,0,1
A,201719,2017-05-07,267,0.41565025,2.166288,1,0.9818279,0,1
A,201720,2017-05-14,184,0.0029544851,1.4928725,1,0.76481193,0,1
A,201721,2017-05-21,193,0.040097658,1.5658934,1,0.843244,0,1
A,201722,2017-05-28,201,0.35560703,1.630801,1,0.964103,0,1
A,201723,2017-06-04,192,0.4206572,1.55778,1,0.97989607,0,1
A,201724,2017-06-11,126,0.0001149167,1.0222931,1,0.6586641,0,1
A,201725,2017-06-18,155,0.13092402,1.2575828,1,0.8838873,0,1
A,201726,2017-06-25,121,0.028096598,0.98172593,1,0.7934633,0,1
A,201727,2017-07-02,128,0.23511022,1.03852,1,0.9156144,0,1
A,201728,2017-07-09,124,0.32748455,1.0060662,1,0.9456584,0,1
A,201729,2017-07-16,106,0.1048181,0.8600244,1,0.84784067,0,0
A,201730,2017-07-23,115,0.38333964,0.9330453,1,0.9620537,0,0
A,201731,2017-07-30,109,0.38193974,0.88436466,1,0.96059,0,0
A,201732,2017-08-06,122,0.7487468,0.9898394,1,1.0915512,0,1
A,201733,2017-08-13,119,0.6399296,0.96549904,1,1.0480279,0,1
A,201734,2017-08-20,138,0.8949982,1.1196544,1,1.1696247,0,1
A,201735,2017-08-27,151,0.942005,1.2251291,1,1.2085007,0,1
A,201736,2017-09-03,164,0.9452275,1.3306037,1,1.2029972,0,1
A,201737,2017-09-10,182,0.96017796,1.4766456,1,1.212346,1,1
A,201738,2017-09-17,188,0.8985015,1.5253263,1,1.1453098,0,1
A,201739,2017-09-24,215,0.96861297,1.744389,1,1.2067155,1,1
A,201740,2017-10-01,224,0.93768007,1.81741,1,1.1624293,0,1
A,201741,2017-10-08,239,0.9224955,1.9391116,1,1.1438583,0,1
A,201742,2017-10-15,274,0.9860113,2.2230818,1,1.2178298,1,1
A,201743,2017-10-22,219,0.16167852,1.7768428,1,0.9119737,0,1
A,201744,2017-10-29,236,0.32509366,1.9147713,1,0.9595567,0,1
A,201745,2017-11-05,277,0.9500198,2.2474222,1,1.1558303,1,1
A,201746,2017-11-12,248,0.5815437,2.0121324,2,1.0187287,0,1
A,201747,2017-11-19,264,0.65461683,2.1419475,1,1.035517,0,1
A,201748,2017-11-26,281,0.8309523,2.279876,1,1.0859283,0,1
A,201749,2017-12-03,271,0.61924106,2.1987417,1,1.0265697,0,1
A,201750,2017-12-10,256,0.2702163,2.07704,1,0.9480495,0,1
A,201751,2017-12-17,251,0.24092181,2.0364728,1,0.94009775,0,1
A,201752,2017-12-24,256,0.45373338,2.07704,1,0.989813,0,1
A,201801,2017-12-31,401,1.0,3.2534885,2,1.5329537,1,1
A,201802,2018-01-07,557,1.0,4.5191846,3,1.8260629,1,1
A,201803,2018-01-14,696,1.0,5.6469526,3,1.7017168,1,2
A,201804,2018-01-21,549,0.6946989,4.454277,3,1.0314459,0,1
A,201805,2018-01-28,540,0.04467415,4.381256,2,0.90413266,0,1
A,201806,2018-02-04,465,0.00031536166,3.7727485,2,0.80857515,0,1
A,201807,2018-02-11,456,0.0131925,3.6997275,2,0.8677329,0,1
A,201808,2018-02-18,446,0.109866194,3.6185932,2,0.9226472,0,1
A,201809,2018-02-25,397,0.022516206,3.2210348,2,0.87162787,0,1
A,201810,2018-03-04,351,0.0021192161,2.8478165,2,0.8146618,0,1
A,201811,2018-03-11,298,0.00012605378,2.4178045,2,0.7562035,0,1
A,201812,2018-03-18,266,0.00041312334,2.1581743,2,0.762781,0,1
A,201813,2018-03-25,252,0.011924356,2.0445862,2,0.82552797,0,1
A,201814,2018-04-01,294,0.7766979,2.3853507,2,1.0658101,0,1
A,201815,2018-04-04,257,0.32143995,2.0851533,2,0.96034765,0,1
A,201816,2018-04-15,193,0.00028683813,1.5658934,1,0.7239249,0,1
A,201817,2018-04-22,188,0.0028780212,1.5253263,1,0.7662735,0,1
A,201818,2018-04-29,234,0.82377565,1.8985444,1,1.0917594,0,1
A,201819,2018-05-06,197,0.36000726,1.5983472,1,0.9648745,0,1
A,201820,2018-05-13,192,0.2048827,1.55778,1,0.92096734,0,1
A,201821,2018-05-20,114,6.663525e-07,0.9249319,1,0.57324857,0,0
A,201822,2018-05-27,122,0.0017301117,0.9898394,1,0.70959115,0,1
A,201823,2018-06-03,121,0.123041816,0.98172593,1,0.8662046,0,1
A,201824,2018-06-10,132,0.69328815,1.0709738,1,1.0651017,0,1
A,201825,2018-06-17,90,0.0145434765,0.73020935,1,0.7399833,0,0
A,201826,2018-06-24,135,0.8560929,1.095314,1,1.1428756,0,1
A,201827,2018-07-01,98,0.15200317,0.7951169,1,0.8680922,0,0
A,201828,2018-07-08,85,0.028378574,0.6896422,1,0.7615362,0,0
A,201829,2018-07-15,93,0.24108689,0.7545497,1,0.90456694,0,0
A,201830,2018-07-22,81,0.19661659,0.6571884,1,0.8784748,0,0
A,201831,2018-07-29,75,0.16793594,0.6085078,1,0.85989696,0,0
A,201832,2018-08-05,77,0.3407316,0.6247347,1,0.93714476,0,0
A,201833,2018-08-12,76,0.4463826,0.61662126,1,0.9785423,0,0
A,201834,2018-08-19,79,0.5854112,0.6409616,1,1.0351374,0,0
A,201835,2018-08-26,64,0.15547319,0.51926,1,0.8427335,0,0
A,201836,2018-09-02,62,0.16599438,0.5030331,1,0.8465267,0,0
A,201837,2018-09-09,88,0.9375532,0.7139825,1,1.2780275,0,0
A,201838,2018-09-16,121,0.99976724,0.98172593,1,1.6653041,1,1
A,201839,2018-09-23,113,0.95267236,0.91681844,1,1.2653357,0,0
A,201840,2018-09-30,103,0.41466296,0.83568406,1,0.97068197,0,0
A,201841,2018-10-07,104,0.34223875,0.8437975,1,0.9460424,0,0
A,201842,2018-10-14,122,0.83778423,0.9898394,1,1.1389426,0,1
A,201843,2018-10-21,90,0.10661709,0.73020935,1,0.8376636,0,0
A,201844,2018-10-28,101,0.3347677,0.8194572,1,0.9426517,0,0
A,201845,2018-11-04,119,0.86862934,0.96549904,1,1.1623813,0,1
A,201846,2018-11-11,123,0.8896717,0.9979528,1,1.1762714,0,1
A,201847,2018-11-18,137,0.92263097,1.1115409,1,1.1966499,0,1
A,201848,2018-11-25,187,0.9996659,1.5172129,1,1.4726827,1,1
A,201849,2018-12-02,189,0.98959553,1.5334396,3,1.28786,1,1
A,201850,2018-12-09,220,0.9918179,1.7849562,3,1.2750326,1,1
A,201851,2018-12-16,188,0.41881183,1.5253263,3,0.97921544,0,1
A,201852,2018-12-23,182,0.1843417,1.4766456,2,0.9121128,0,1
A,201901,2018-12-30,346,1.0,2.8072493,2,1.712822,1,1
A,201902,2019-01-06,373,1.0,3.026312,3,1.5892673,1,1
A,201903,2019-01-13,405,0.9999107,3.2859423,3,1.3263686,1,1
A,201904,2019-01-20,433,0.99234504,3.5131185,3,1.1876261,1,1
A,201905,2019-01-27,553,0.99999905,4.486731,3,1.3621696,1,1
A,201906,2019-02-03,595,0.99998766,4.827495,3,1.2980744,1,1
A,201907,2019-02-10,663,0.99995095,5.379209,3,1.2539648,1,2
A,201908,2019-02-17,838,1.0,6.799061,3,1.3918533,1,2
A,201909,2019-02-24,899,0.9999999,7.29398,4,1.2998629,1,2
A,201910,2019-03-03,1147,1.0,9.306113,4,1.4180915,1,2
A,201911,2019-03-10,1447,1.0,11.740144,4,1.5142422,1,2
A,201912,2019-03-17,1606,1.0,13.030181,4,1.3842169,1,2
A,201913,2019-03-24,1831,1.0,14.855704,4,1.3129083,1,2
A,201914,2019-03-31,2210,1.0,17.930696,4,1.3648493,1,2
A,201915,2019-04-07,2662,1.0,21.597971,4,1.4152969,1,2
A,201916,2019-04-14,2972,1.0,24.113136,4,1.3371875,1,2
A,201917,2019-04-21,3812,1.0,30.928425,4,1.4506097,1,2
A,201918,2019-04-28,3887,1.0,31.536932,4,1.2580552,1,2
A,201919,2019-05-05,3979,0.99999964,32.283367,4,1.121148,1,2
A,201920,2019-05-12,3628,0.020406919,29.43555,4,0.9536529,0,2
A,201921,2019-05-19,3492,8.3486084e-05,28.332125,4,0.9156505,0,2
A,201922,2019-05-26,2669,0.0,21.654764,4,0.73599434,0,2
A,201923,2019-06-02,1810,0.0,14.685322,4,0.55742204,0,2
A,201924,2019-06-09,1457,0.0,11.821279,4,0.55180824,0,2
A,201925,2019-06-16,1231,0.0,9.987641,4,0.6179492,0,2
A,201926,2019-06-23,1124,4.440892e-16,9.119504,4,0.7308919,0,2
A,201927,2019-06-30,641,0.0,5.2007136,4,0.50862616,0,1
A,201928,2019-07-07,519,0.0,4.210874,1,0.5106003,0,1
A,201929,2019-07-14,440,0.0,3.5699124,1,0.5865085,0,1
A,201930,2019-07-21,445,0.00015740907,3.6104796,1,0.79608357,0,1
A,201931,2019-07-28,366,0.00019383056,2.9695182,1,0.7815309,0,1
A,201932,2019-08-04,397,0.16417916,3.2210348,1,0.9341033,0,1
A,201933,2019-08-11,253,3.1290043e-08,2.0526998,1,0.64945805,0,1
A,201934,2019-08-18,235,1.6085091e-06,1.9066578,1,0.67743987,0,1
A,201935,2019-08-25,258,0.08835487,2.093267,1,0.89094526,0,1
A,201936,2019-09-01,233,0.1807914,1.8904309,1,0.92060274,0,1
A,201937,2019-09-08,302,0.98952025,2.4502583,1,1.2180195,1,1
A,201938,2019-09-15,285,0.8795423,2.3123298,1,1.1059054,0,1
A,201939,2019-09-22,231,0.029630328,1.874204,1,0.8452284,0,1
A,201940,2019-09-29,272,0.5152498,2.206855,1,1.0032842,0,1
A,201941,2019-10-06,291,0.906787,2.3610103,1,1.1191554,0,1
A,201942,2019-10-13,254,0.30996564,2.0608132,1,0.9574351,0,1
A,201943,2019-10-20,231,0.041974716,1.874204,1,0.8567726,0,1
A,201944,2019-10-27,268,0.6709931,2.1744013,1,1.0393336,0,1
A,201945,2019-11-03,280,0.89986634,2.2717626,1,1.1176305,0,1
A,201946,2019-11-10,217,0.03186438,1.760616,2,0.8433088,0,1
A,201947,2019-11-17,245,0.312588,1.9877923,1,0.957314,0,1
A,201948,2019-11-24,227,0.25286806,1.8417503,1,0.94039154,0,1
A,201949,2019-12-01,266,0.9108944,2.1581743,1,1.127721,0,1
A,201950,2019-12-08,306,0.99610597,2.4827118,1,1.2555323,1,1
A,201951,2019-12-15,296,0.90271777,2.4015775,2,1.1157275,0,1
A,201952,2019-12-22,211,0.0005961391,1.7119353,2,0.7460386,0,1
A,202001,2019-12-29,311,0.9295665,2.5232792,2,1.1293579,0,1
A,202002,2020-01-05,578,1.0,4.689567,2,2.0643544,1,1
A,202003,2020-01-12,566,1.0,4.5922055,3,1.5595798,1,1
A,202004,2020-01-19,582,0.99819154,4.7220206,3,1.1951578,1,1
A,202005,2020-01-26,659,0.9977656,5.3467555,3,1.1771351,1,1
A,202006,2020-02-02,695,0.9963017,5.6388392,3,1.1607786,1,2
A,202007,2020-02-09,886,1.0,7.1885056,3,1.3570267,1,2
A,202008,2020-02-16,856,0.9991303,6.9451027,4,1.1704624,1,2
A,202009,2020-02-23,712,0.0081964,5.7767677,4,0.88399214,0,2
A,202010,2020-03-01,727,0.019370034,5.898469,4,0.8998212,0,2
A,202011,2020-03-08,857,0.9893285,6.953216,4,1.1211965,1,2
A,202012,2020-03-15,511,1.12381215e-11,4.1459665,4,0.68360347,0,1
A,202013,2020-03-22,419,0.0,3.3995304,1,0.5931229,0,1
A,202014,2020-03-29,419,2.3104968e-07,3.3995304,1,0.7252157,0,1
A,202015,2020-04-05,418,0.05921925,3.3914168,1,0.90018964,0,1
A,202016,2020-04-12,510,0.9960479,4.137853,1,1.1896222,1,1
A,202017,2020-04-19,585,0.99999005,4.746361,3,1.3054072,1,1
A,202018,2020-04-26,516,0.70801604,4.186534,3,1.0349696,0,1
A,202019,2020-05-03,408,4.1736563e-05,3.3102825,1,0.77250266,0,1
A,202020,2020-05-10,404,0.00092041865,3.2778287,1,0.812243,0,1
A,202021,2020-05-17,283,6.6284387e-09,2.2961028,1,0.6512297,0,1
A,202022,2020-05-24,229,2.636252e-09,1.8579772,1,0.6168197,0,1
A,202023,2020-05-31,247,0.007672821,2.004019,1,0.81303996,0,1
A,202024,2020-06-07,237,0.19476645,1.9228847,1,0.92546093,0,1
A,202025,2020-06-14,197,0.02181609,1.5983472,1,0.8240657,0,1
A,202026,2020-06-21,175,0.006021713,1.4198515,1,0.777413,0,1
A,202027,2020-06-28,187,0.21194348,1.5172129,1,0.9222316,0,1
A,202028,2020-07-05,158,0.07078727,1.2819232,1,0.8532063,0,1
A,202029,2020-07-12,138,0.019612806,1.1196544,1,0.79151505,0,1
A,202030,2020-07-19,128,0.033561926,1.03852,1,0.80534655,0,1
A,202031,2020-07-26,123,0.12354385,0.9979528,1,0.8674363,0,1
A,202032,2020-08-02,86,0.0018576196,0.69775563,1,0.6705902,0,0
A,202033,2020-08-09,117,0.5433117,0.9492722,1,1.0143496,0,0
A,202034,2020-08-16,70,0.00505941,0.56794065,1,0.67499,0,0
A,202035,2020-08-23,95,0.4487609,0.77077657,1,0.9816109,0,0
A,202036,2020-08-30,105,0.85761344,0.85191095,1,1.1653914,0,0
A,202037,2020-09-06,117,0.9496055,0.9492722,1,1.254341,0,0
A,202038,2020-09-13,103,0.49840182,0.83568406,1,0.9994431,0,0
A,202039,2020-09-20,129,0.89806247,1.0466335,1,1.1788772,0,1
A,202040,2020-09-27,132,0.87709016,1.0709738,1,1.1594989,0,1
A,202041,2020-10-04,84,0.0060324785,0.68152875,1,0.70200646,0,0
A,202042,2020-10-11,81,0.007801956,0.6571884,1,0.70639205,0,0
A,202043,2020-10-18,96,0.45210496,0.77889,1,0.9828898,0,0
A,202044,2020-10-25,70,0.082406804,0.56794065,1,0.8012738,0,0
A,202045,2020-11-01,86,0.54226625,0.69775563,1,1.0163451,0,0
A,202046,2020-11-08,115,0.9889567,0.9330453,1,1.3865948,0,0
A,202047,2020-11-15,116,0.96006316,0.9411588,1,1.2762663,0,0
A,202048,2020-11-22,131,0.9479415,1.0628604,1,1.235324,0,1
A,202049,2020-11-29,144,0.94235325,1.168335,1,1.2147468,0,1
A,202050,2020-12-06,159,0.9542558,1.2900366,2,1.219718,1,1
A,202051,2020-12-13,105,0.012285894,0.85191095,2,0.7496119,0,0
A,202052,2020-12-20,115,0.07796646,0.9330453,2,0.83640057,0,0
A,202053,2020-12-27,105,0.12598006,0.85191095,2,0.8590437,0,0
A,202101,2021-01-03,231,1.0,1.874204,2,2.684975,0,0
A,202102,2021-01-10,205,1.0,1.6632547,2,1.9916846,0,0
A,202103,2021-01-17,210,0.9921321,1.7038219,2,1.2848433,0,0
A,202104,2021-01-24,217,0.77218366,1.760616,2,1.0755885,0,0
A,202105,2021-01-31,314,0.9999915,2.5476193,2,1.4576195,1,1
A,202106,2021-02-07,344,0.9999823,2.7910225,3,1.4096577,1,1
A,202107,2021-02-14,451,1.0,3.6591604,3,1.5152484,1,1
A,202108,2021-02-21,426,0.99246526,3.4563243,3,1.189883,1,1
A,202109,2021-02-28,544,0.999988,4.41371,3,1.3154242,1,1
A,202110,2021-03-07,581,0.99988693,4.7139072,3,1.2573774,1,1
A,202111,2021-03-14,713,0.99999994,5.784881,3,1.3578327,1,1
A,202112,2021-03-21,808,1.0,6.5556574,3,1.3363925,1,1
A,202113,2021-03-28,1153,1.0,9.354794,3,1.6145866,1,1
A,202114,2021-04-04,1679,1.0,13.622461,3,1.86898,1,1
A,202115,2021-04-11,1752,1.0,14.214743,3,1.4630508,1,2
A,202116,2021-04-18,1701,0.9995896,13.800958,3,1.1254088,1,2
A,202117,2021-04-25,1561,0.030993758,12.665076,4,0.9364034,0,1
A,202118,2021-05-02,1472,0.0005112574,11.94298,1,0.88910663,0,1
A,202119,2021-05-09,1226,1.3350188e-10,9.947075,1,0.78645015,0,1
A,202120,2021-05-16,1017,2.220446e-16,8.251366,1,0.7180409,0,1
A,202121,2021-05-23,853,0.0,6.920762,1,0.6937903,0,1
A,202122,2021-05-30,781,8.3035245e-10,6.3365946,1,0.7527192,0,1
A,202123,2021-06-06,583,3.330669e-15,4.730134,1,0.6626763,0,1
A,202124,2021-06-13,513,1.7851831e-11,4.1621933,1,0.6864871,0,1
A,202125,2021-06-20,409,2.6633806e-11,3.3183959,1,0.6612735,0,1
A,202126,2021-06-27,314,5.4645177e-12,2.5476193,1,0.618438,0,1
A,202127,2021-07-04,289,1.1360157e-06,2.3447835,1,0.6981785,0,1
A,202128,2021-07-11,270,0.00250913,2.190628,1,0.79615974,0,1
A,202129,2021-07-18,225,0.0013399465,1.8255235,1,0.7674251,0,0
A,202130,2021-07-25,188,0.00027092177,1.5253263,1,0.7201052,0,0
A,202131,2021-08-01,172,0.0029161896,1.3955113,1,0.7579712,0,0
A,202132,2021-08-08,219,0.83891433,1.7768428,1,1.1016731,0,0
A,202133,2021-08-15,242,0.9899957,1.9634519,1,1.250325,0,0
A,202134,2021-08-22,213,0.5536384,1.7281622,1,1.013184,0,0
A,202135,2021-08-29,159,0.00086032425,1.2900366,1,0.72335166,0,0
A,202136,2021-09-05,166,0.025075655,1.3468306,1,0.8154072,0,0
A,202137,2021-09-12,178,0.4829033,1.4441919,1,0.99547666,0,0
A,202138,2021-09-19,188,0.8223558,1.5253263,1,1.1025035,0,0
A,202139,2021-09-26,179,0.56553394,1.4523053,1,1.0176525,0,0
A,202140,2021-10-03,157,0.109054744,1.2738097,1,0.87437266,0,0
A,202141,2021-10-10,152,0.11667654,1.2332425,1,0.87625813,0,0
A,202142,2021-10-17,156,0.3657774,1.2656963,1,0.9623068,0,0
A,202143,2021-10-24,124,0.037495527,1.0060662,1,0.80733067,0,0
A,202144,2021-10-31,167,0.86677074,1.3549441,1,1.1335043,0,0
A,202145,2021-11-07,144,0.49231252,1.168335,1,0.99773604,0,0
A,202146,2021-11-14,186,0.9733134,1.5090994,1,1.2348027,0,0
A,202147,2021-11-21,239,0.99992657,1.9391116,1,1.4646939,0,0
A,202148,2021-11-28,291,0.99999684,2.3610103,1,1.5142325,1,1
A,202149,2021-12-05,365,0.9999999,2.9614048,3,1.5271609,1,1
A,202150,2021-12-12,313,0.82737565,2.539506,3,1.0798885,0,1
A,202151,2021-12-19,137,0.0,1.1115409,1,0.4378274,0,0
A,202152,2021-12-26,38,0.0,0.30831063,1,0.14329587,0,0
A,202201,2022-01-02,327,1.0,2.653094,1,1.8342912,1,1
A,202202,2022-01-09,253,0.9999981,2.0526998,2,1.5847162,0,0
A,202203,2022-01-16,366,1.0,2.9695182,2,1.5950388,1,1
A,202204,2022-01-23,325,0.9278281,2.6368673,2,1.1250875,0,1
